Claimant Gender,Claimant Age,Claim Amount
Male,34,5798.97
Female,43,4569.31
Male,32,500.0
Female,30,500.0
Male,18,500.0
Male,48,3302.0
Male,32,9093.21
Female,28,4747.15
Female,39,4856.85
Male,44,4953.87
Male,33,500.0
Female,60,8757.07
Male,55,6898.42
Female,37,5758.91
Female,43,10492.51
Male,20,656.59
Male,47,7769.62
Other,42,500.0
Male,18,2648.96
Male,35,2990.55
Female,21,4256.99
Other,50,10393.35
Other,24,10931.8
Female,20,5718.46
Male,27,4948.0
Male,37,7682.26
Female,38,11147.74
Female,29,14249.14
Male,39,4074.18
Other,30,500.0
Male,41,3833.5
Female,47,9071.87
Male,40,9775.57
Female,36,4906.16
Male,39,7696.53
Male,28,5203.19
Male,49,2105.79
Female,38,10722.1
Female,56,15288.74
Female,62,9305.31
Other,21,500.0
Male,46,12211.51
Male,35,9345.79
Female,42,5840.65
Male,38,2850.34
Other,24,7097.43
Male,47,8365.53
Other,31,1815.58
Male,57,10568.71
Female,36,8980.85
Female,41,642.3
Other,46,13716.33
Male,45,500.0
Female,46,5727.13
Other,47,6730.76
Female,37,4190.24
Female,34,500.0
Female,47,11896.6
Female,40,500.0
Female,30,8994.7
Female,40,14090.34
Other,23,2631.32
Male,37,9855.91
Male,37,1880.97
Other,39,4210.94
Female,40,1669.24
Female,48,12765.23
Female,55,7524.68
Male,33,9797.91
Male,32,13012.5
Female,40,500.0
Male,28,1194.26
Female,61,15742.84
Male,40,10275.38
Other,29,1911.0
Other,31,9968.23
Female,30,4635.34
Female,50,12879.63
Male,42,4594.21
Female,63,1353.25
Female,18,500.0
Male,54,5942.99
Other,18,500.0
Female,28,8600.85
Other,38,7947.87
Female,30,12731.37
Female,30,6419.2
Male,48,4562.34
Other,54,5843.82
Female,50,13231.96
Male,43,500.0
Male,41,6824.66
Male,18,6008.71
Female,33,7545.88
Other,28,2610.16
Male,53,9819.14
Female,53,8067.19
Male,28,6368.63
Other,20,5343.27
Female,63,8559.66
Female,67,10619.1
Female,26,3735.01
Male,23,1262.89
Male,33,872.6
Male,46,500.0
Female,49,8898.33
Female,27,6134.65
Other,60,7529.82
Other,31,979.13
Female,40,16693.93
Female,36,5168.79
Other,34,8590.21
Female,62,10462.73
Male,18,7810.03
Female,41,16081.65
Male,56,14656.76
Other,18,6752.79
Female,36,12769.55
Male,47,5349.4
Female,53,10672.37
Female,42,5739.72
Male,24,500.0
Male,46,7890.95
Female,30,5466.21
Female,43,8430.84
Female,18,500.0
Female,37,12403.92
Female,39,500.0
Female,35,5333.52
Female,44,18676.64
Female,44,4991.21
Male,61,500.0
Male,30,15518.9
Male,51,500.0
Female,40,8879.79
Female,47,8544.59
Female,46,12622.5
Male,39,5279.9
Male,48,11535.54
Male,29,9249.39
Male,47,1770.25
Female,22,7341.22
Male,45,6759.14
Male,48,20941.82
Other,18,4978.65
Male,25,6996.87
Female,31,23059.67
Female,52,4107.98
Male,52,7494.32
Female,35,5209.09
Female,43,7769.04
Other,27,7853.29
Male,37,9640.61
Other,50,2995.9
Female,52,7594.14
Male,58,13818.66
Female,30,7931.58
Other,38,7429.13
Female,28,500.0
Male,42,12083.06
Female,36,7263.55
Male,42,13414.17
Male,36,5583.04
Male,71,13681.22
Male,45,8139.14
Male,31,11024.5
Male,36,16565.75
Female,43,12184.07
Male,29,6844.6
Male,36,19057.32
Female,23,500.0
Female,34,2302.65
Female,29,500.0
Male,18,500.0
Male,38,2246.13
Male,30,8314.3
Male,18,500.0
Male,50,2309.38
Male,51,17710.84
Male,31,7376.8
Male,48,2027.08
Female,28,8212.25
Male,32,2288.16
Male,36,1852.96
Female,56,8698.93
Female,40,500.0
Male,49,4500.26
Female,20,7776.08
Female,33,10127.79
Male,49,7194.14
Female,38,3291.56
Other,38,9914.73
Male,35,500.0
Male,50,14048.04
Female,40,1127.44
Female,24,500.0
Male,31,4234.55
Male,67,9810.46
Male,39,13338.85
Female,18,1036.71
Female,43,9275.54
Male,49,3373.09
Female,56,1653.72
Female,37,2364.38
Male,65,12945.35
Male,46,1356.38
Female,66,1734.15
Female,39,10170.21
Female,54,3755.03
Female,64,12307.63
Male,38,12669.45
Male,26,500.0
Female,22,4665.04
Male,36,500.0
Male,28,500.0
Male,32,1564.56
Male,35,4576.92
Male,39,9285.49
Male,37,4096.94
Male,22,500.0
Male,21,500.0
Female,64,11244.52
Female,53,500.0
Female,40,12425.6
Female,61,11443.02
Female,39,8918.74
Male,28,7756.26
Female,56,4945.39
Female,53,4973.21
Female,57,6210.09
Male,30,5145.41
Male,32,7002.62
Male,39,15832.48
Male,31,500.0
Female,33,5858.21
Female,40,1721.54
Male,30,7492.92
Other,38,500.0
Female,38,12437.03
Male,35,8844.38
Male,69,9710.42
Male,45,9948.07
Male,46,666.56
Male,41,17260.69
Male,36,2633.11
Male,22,500.0
Male,22,3014.18
Female,40,17600.59
Male,49,9254.7
Female,25,11255.54
Male,37,1222.87
Other,53,12933.53
Male,43,4956.12
Male,41,500.0
Other,36,500.0
Female,43,900.39
Female,34,500.0
Male,33,7260.4
Male,51,14383.43
Female,46,5018.48
Other,72,1082.56
Female,49,4569.49
Female,45,10429.1
Male,25,678.99
Female,22,500.0
Male,64,3839.83
Male,42,11294.17
Male,35,500.0
Female,18,12188.93
Male,74,13155.27
Male,41,8395.25
Female,46,2762.34
Male,42,7598.71
Female,45,7627.29
Male,43,6596.34
Female,24,9578.11
Female,50,500.0
Male,50,5253.39
Male,55,2168.42
Male,35,8052.29
Male,44,16905.61
Other,46,5939.77
Male,75,8312.65
Female,75,9261.81
Male,44,500.0
Female,28,11671.16
Female,33,500.0
Female,37,4710.04
Female,54,9242.65
Male,56,10754.46
Male,52,5829.46
Other,49,13245.11
Female,53,16283.71
Other,23,500.0
Male,25,2142.86
Female,26,500.0
Other,42,11868.76
Male,44,9971.79
Male,21,500.0
Female,41,2348.67
Female,47,5909.98
Female,37,9439.76
Male,62,13039.02
Female,66,6042.0
Male,30,10075.9
Male,36,10545.35
Male,48,10871.65
Female,40,6289.68
Female,26,1658.09
Female,56,2035.9
Male,41,8846.34
Female,41,2504.58
Male,28,11514.41
Female,27,500.0
Male,44,5207.67
Male,65,16722.96
Female,25,679.34
Male,35,5928.62
Female,28,8018.77
Female,28,4438.93
Male,61,14784.82
Female,43,9243.19
Male,48,13380.27
Female,32,3627.54
Other,55,7983.35
Female,34,1598.61
Male,18,7067.05
Other,34,5745.44
Female,56,11836.2
Male,26,6745.53
Male,48,7146.88
Female,43,4706.24
Female,56,4428.91
Female,47,2426.66
Female,53,5117.2
Female,59,19030.54
Male,33,4688.63
Male,51,14811.65
Male,40,500.0
Female,38,6080.8
Male,63,10787.29
Female,68,13415.92
Female,40,13323.52
Female,37,7768.1
Male,67,10496.59
Female,39,598.78
Male,28,821.88
Female,50,15750.3
Male,30,9680.63
Male,20,5454.48
Female,18,9272.88
Male,25,8574.41
Male,22,1062.07
Female,29,8553.07
Female,49,3609.16
Female,43,13811.48
Female,31,6114.28
Female,48,8076.29
Male,40,6720.17
Male,34,500.0
Male,44,6659.66
Other,43,8996.36
Female,34,3744.88
Male,18,2547.98
Female,30,5541.98
Other,53,14450.52
Male,18,5936.02
Female,43,6998.19
Female,46,8164.9
Female,35,1235.17
Male,26,500.0
Female,63,5710.21
Other,51,6405.08
Female,32,1319.05
Female,20,3012.91
Other,49,13009.01
Female,36,5976.74
Male,50,4922.7
Female,46,6990.79
Female,35,1131.53
Male,43,8032.63
Female,56,13430.73
Other,34,5060.64
Other,20,500.0
Female,33,5101.36
Male,37,14519.87
Other,27,500.0
Female,48,500.0
Male,44,2807.2
Other,50,5501.2
Female,44,10045.1
Female,35,4853.91
Female,55,7139.97
Male,44,8750.77
Male,53,6641.46
Male,33,1809.69
Female,50,9261.76
Male,43,11234.9
Male,45,7621.47
Male,47,500.0
Female,21,5653.99
Other,37,7843.17
Male,36,500.0
Male,41,6195.64
Female,39,1133.84
Female,46,10484.03
Male,35,4616.44
Female,40,500.0
Male,44,8325.99
Male,45,13725.62
Female,35,500.0
Male,38,7011.8
Other,50,4131.86
Male,38,10690.16
Female,23,2268.98
Female,39,12528.44
Male,43,13058.2
Female,52,13241.86
Male,43,11548.5
Other,46,4841.76
Male,33,5119.64
Male,30,6768.81
Male,44,24813.21
Other,63,8430.79
Female,56,2933.55
Female,54,7765.05
Male,46,12786.69
Female,38,500.0
Male,55,13928.63
Female,54,10648.24
Male,38,13905.77
Male,31,14264.11
Male,39,10047.97
Female,43,6034.31
Female,31,500.0
Male,30,500.0
Female,38,14232.06
Female,32,6498.47
Female,41,2068.57
Male,62,1195.91
Male,55,4796.57
Female,61,15617.56
Male,18,5357.36
Male,62,11277.24
Female,35,16759.86
Other,46,7550.98
Male,68,16283.2
Male,42,1471.36
Female,22,5114.83
Male,19,7951.21
Male,40,4461.52
Male,26,6196.51
Female,37,1197.35
Female,42,5177.26
Male,46,7341.0
Male,38,500.0
Male,57,18885.03
Female,39,8073.95
Male,41,11693.63
Male,37,14129.25
Female,42,5876.23
Male,45,12345.07
Female,44,10554.82
Male,34,10054.65
Male,51,9862.81
Male,18,805.08
Female,34,5267.33
Female,56,15360.06
Female,54,13662.02
Male,39,3356.93
Female,27,5290.46
Male,32,16826.99
Male,33,11311.56
Female,26,7905.45
Male,49,1964.96
Male,40,8081.47
Male,58,14983.44
Male,24,500.0
Male,28,12006.24
Female,49,9170.83
Male,62,27154.12
Female,26,5095.79
Female,41,6516.89
Male,31,13276.91
Male,21,2119.65
Male,31,500.0
Female,33,500.0
Male,41,11460.46
Female,22,3818.31
Male,44,11357.54
Female,46,500.0
Male,36,9900.39
Male,68,500.0
Other,56,10854.54
Female,67,9079.5
Male,33,6882.54
Female,47,11519.6
Female,41,9220.05
Female,36,11142.56
Female,41,7913.46
Male,29,2877.8
Male,35,5547.09
Male,32,500.0
Female,48,10436.23
Female,29,2298.35
Male,42,7807.98
Male,32,500.0
Female,46,500.0
Other,41,10605.89
Female,35,3708.56
Male,50,9844.41
Male,25,1100.92
Male,35,5679.54
Other,30,500.0
Male,18,4350.7
Female,31,5450.58
Male,33,500.0
Female,42,500.0
Female,40,10282.04
Female,52,6654.17
Male,46,500.0
Male,41,10785.07
Male,52,500.0
Other,25,2299.65
Female,49,7140.66
Female,40,13285.05
Female,55,10128.58
Female,48,4348.92
Male,18,500.0
Other,25,5153.12
Male,33,15340.64
Male,31,500.0
Female,24,9181.38
Male,29,3349.09
Male,22,7467.79
Female,46,2580.27
Male,44,7999.24
Female,35,3577.56
Male,64,500.0
Male,22,500.0
Male,52,5333.8
Male,43,14499.58
Female,21,6826.86
Male,46,618.26
Female,45,17536.54
Female,49,4941.33
Female,36,7186.09
Other,30,9127.37
Female,34,8682.39
Male,48,14127.02
Male,27,7960.5
Male,41,3013.2
Female,58,2600.66
Male,46,3519.43
Female,46,500.0
Female,54,2537.22
Male,46,718.23
Female,41,8789.31
Male,33,5365.26
Male,33,500.0
Female,51,4320.99
Female,41,9886.98
Female,29,500.0
Male,45,15815.95
Male,60,3822.31
Female,21,9686.69
Female,40,5773.18
Female,38,3024.81
Male,57,8595.09
Female,39,5325.15
Male,41,13681.9
Male,43,3698.47
Other,49,6472.31
Male,50,8334.46
Other,32,12394.66
Male,25,500.0
Male,22,5614.83
Female,36,6682.98
Female,56,6674.26
Female,25,9527.01
Female,65,12352.04
Female,44,500.0
Female,18,8049.35
Female,32,500.0
Male,46,7497.13
Female,50,500.0
Male,18,500.0
Other,59,3517.76
Other,47,2086.96
Male,44,6668.58
Female,72,5745.59
Other,33,9253.68
Male,34,2054.09
Female,65,12236.28
Other,33,3280.89
Male,40,1377.24
Female,18,1548.06
Male,60,5928.7
Other,30,2770.91
Other,44,14019.17
Other,51,4165.72
Female,36,10838.52
Female,53,20675.61
Female,23,14807.47
Male,44,6908.5
Female,40,5587.5
Male,63,9029.4
Female,45,500.0
Male,32,4724.56
Male,53,2405.57
Male,41,500.0
Female,46,8252.1
Male,41,17795.94
Female,35,899.8
Male,44,4054.27
Male,36,6559.83
Female,61,7590.1
Female,18,9445.19
Male,42,10921.23
Female,27,7856.87
Female,36,4766.47
Female,30,2427.87
Male,39,6706.28
Male,27,4688.81
Female,39,14862.15
Male,36,1791.8
Female,38,14503.22
Female,51,7657.86
Other,35,3732.02
Female,45,10018.05
Other,63,9740.54
Male,26,2452.57
Female,46,5325.31
Male,28,500.0
Female,45,7255.13
Female,27,4161.49
Female,44,5240.98
Other,63,1640.45
Female,44,18203.62
Male,37,15607.09
Male,44,8564.73
Female,18,5060.61
Male,47,1404.55
Male,35,7626.7
Male,53,11834.55
Male,41,500.0
Male,22,500.0
Male,37,17973.26
Male,20,5956.71
Male,48,500.0
Other,31,500.0
Male,49,6135.21
Male,25,512.31
Female,44,13381.67
Male,42,500.0
Other,51,9601.48
Female,30,11851.86
Male,46,12107.35
Male,32,716.9
Female,51,10811.23
Other,56,14216.05
Female,33,500.0
Female,32,500.0
Male,24,16056.57
Other,18,6492.12
Male,50,12093.6
Other,54,6104.03
Female,38,11130.65
Female,29,7033.73
Female,34,500.0
Male,42,10094.96
Male,50,10464.61
Male,27,9388.73
Male,41,12096.54
Female,40,8385.47
Male,30,3771.1
Male,50,3834.43
Other,51,2053.53
Female,38,1814.04
Other,41,8647.07
Other,28,2547.33
Male,46,8125.78
Male,63,4916.93
Female,53,16459.41
Female,36,2399.57
Male,21,20090.97
Female,44,12936.32
Male,39,14696.47
Male,35,8478.39
Female,46,8773.45
Female,40,500.0
Female,31,8526.42
Male,47,5496.35
Female,37,500.0
Male,30,6401.38
Male,30,7697.3
Female,32,500.0
Other,37,7229.94
Female,19,500.0
Female,42,10344.61
Female,60,7809.78
Female,22,4107.47
Male,19,3148.83
Male,49,6237.03
Male,45,5480.26
Male,30,2693.81
Female,19,9700.75
Female,61,13118.81
Male,46,10390.02
Male,35,12328.11
Female,34,513.84
Male,33,4719.54
Female,46,16801.89
Female,24,2004.92
Female,37,13198.86
Female,52,6837.55
Female,33,8082.71
Male,43,18347.38
Female,42,26348.66
Female,74,20403.58
Male,38,1293.59
Female,58,17384.12
Female,45,4985.66
Female,43,2309.41
Female,35,2754.91
Female,45,5595.14
Female,53,3918.3
Female,53,9325.95
Female,40,15148.06
Female,45,11004.84
Female,61,858.68
Female,35,8527.56
Male,44,11935.83
Female,55,4752.96
Female,49,12958.26
Male,44,7016.76
Female,35,17502.47
Male,44,7241.72
Male,41,9941.22
Female,53,3317.64
Male,44,15191.15
Female,42,500.0
Female,48,4657.69
Female,48,18643.0
Male,47,2276.43
Male,42,6984.68
Female,26,1564.01
Other,25,3660.83
Female,32,500.0
Male,67,2689.42
Female,26,500.0
Female,54,12746.75
Female,42,10082.13
Male,56,18761.35
Female,51,14277.37
Female,50,17808.95
Other,47,7384.12
Male,18,4640.07
Female,56,12442.31
Other,36,500.0
Male,63,3140.32
Other,49,4165.9
Female,18,500.0
Male,33,500.0
Male,20,1152.56
Female,25,500.0
Male,46,10134.16
Female,56,11030.64
Male,49,5818.74
Female,28,3813.26
Male,56,10447.69
Female,51,5563.0
Other,67,7170.33
Other,44,15489.29
Female,26,3050.08
Male,45,500.0
Female,40,12393.42
Male,74,10557.61
Male,40,7295.39
Male,31,500.0
Female,46,10731.66
Female,24,738.5
Female,47,8042.41
Male,35,5208.84
Male,44,12039.82
Other,20,2471.7
Male,45,5130.36
Female,48,5107.56
Male,46,8523.94
Female,34,500.0
Female,35,6421.34
Male,33,4062.63
Male,46,10325.39
Female,58,7756.42
Female,38,14322.04
Male,56,6574.26
Other,33,1791.81
Male,54,11929.9
Male,49,10447.1
Other,27,9957.44
Male,47,500.0
Female,39,8824.28
Male,53,3578.48
Male,49,5371.33
Other,39,13511.44
Male,33,2761.05
Female,38,500.0
Male,42,4912.66
Male,47,500.0
Male,46,5742.29
Female,36,500.0
Male,26,7117.72
Female,45,5051.45
Female,47,17967.62
Other,41,5055.41
Male,18,500.0
Female,37,831.92
Female,21,1274.63
Female,45,9744.41
Female,22,500.0
Female,42,6219.57
Female,42,14276.48
Male,52,16179.54
Male,39,10212.34
Other,44,752.41
Female,42,3706.85
Female,40,13048.51
Female,53,8868.89
Male,54,13281.31
Male,35,938.23
Female,32,500.0
Male,46,8717.81
Male,40,11486.65
Female,38,5510.78
Male,23,6359.79
Female,53,16856.23
Male,23,10279.08
Female,37,500.0
Male,31,2347.72
Female,24,5359.01
Male,71,3021.26
Male,36,5374.29
Male,40,14091.59
Female,60,10439.0
Female,45,15338.13
Male,39,11094.42
Female,37,5186.4
Female,37,7997.55
Female,55,14721.57
Male,49,7393.78
Female,33,6057.03
Male,32,3343.17
Male,56,13267.55
Other,35,3003.3
Male,59,2182.66
Female,19,4015.67
Female,56,14025.78
Female,42,7935.41
Female,42,3152.17
Male,49,7670.77
Male,34,3804.32
Female,50,3763.45
Male,53,14838.46
Male,29,12926.14
Male,45,9216.88
Male,42,10395.53
Male,27,500.0
Male,32,5846.93
Female,38,500.0
Female,39,20004.81
Female,29,2513.14
Male,49,12357.83
Male,59,9257.12
Male,47,5572.8
Female,48,14846.85
Female,63,14757.01
Male,42,7204.28
Other,40,835.53
Male,69,17318.16
Female,56,20237.29
Female,47,500.0
Female,37,7793.87
Female,48,16431.9
Female,27,500.0
Male,38,2112.8
Female,37,7498.76
Male,38,11122.88
Female,50,6996.17
Female,23,1354.5
Female,54,9758.56
Female,34,500.0
Female,41,10456.09
Female,44,500.0
Female,37,3301.66
Male,36,14925.45
Male,35,5985.29
Male,57,8410.18
Male,40,13050.13
Female,45,4677.58
Male,36,2559.85
Other,41,1901.0
Male,29,7493.47
Male,29,500.0
Female,34,10649.19
Female,51,11525.57
Female,31,6528.09
Female,28,9716.69
Female,53,5107.33
Male,24,2555.0
Other,19,7156.25
Other,26,13638.88
Female,31,3024.19
Male,31,913.97
Female,49,7919.28
Male,43,4373.43
Male,39,6418.73
Male,44,3820.97
Female,44,9046.84
Female,45,5370.65
Female,53,11119.12
Female,55,13780.07
Male,41,3784.33
Male,48,5451.62
Male,18,2359.99
Other,47,6982.07
Male,60,8197.03
Female,35,3512.49
Female,38,12880.32
Male,32,1230.9
Female,39,10888.87
Female,18,16827.14
Female,42,12923.29
Other,38,500.0
Male,62,9450.73
Male,26,500.0
Female,52,8064.19
Other,46,10910.53
Male,28,9018.81
Female,35,7770.77
Female,56,16151.71
Female,18,8264.85
Male,39,20604.37
Female,45,8920.47
Other,45,7356.76
Male,48,13195.07
Male,34,15315.2
Other,41,12533.49
Male,29,5082.47
Female,34,500.0
Female,47,5717.42
Male,52,14959.71
Female,27,8994.62
Male,42,14321.18
Female,52,13417.25
Male,27,1331.46
Female,45,10723.02
Male,34,10155.89
Male,37,6303.68
Other,48,7224.15
Male,28,6101.33
Female,28,5170.05
Male,41,7922.82
Female,68,2241.19
Male,35,14118.83
Other,58,577.47
Female,47,1015.34
Male,64,15743.59
Male,31,10992.52
Male,62,10292.78
Female,34,2590.31
Male,48,10482.78
Female,49,13264.92
Male,75,12328.27
Male,46,14395.19
Female,38,500.0
Female,30,500.0
Male,29,500.0
Male,34,5482.11
Male,37,8244.01
Female,37,1359.37
Female,43,14969.0
Female,46,19363.03
Female,34,3934.88
Female,44,4027.65
Female,52,6396.07
Female,47,10179.39
Male,43,7354.19
Male,33,3522.99
Male,30,2420.41
Male,49,6168.16
Female,40,1074.33
Other,24,1365.23
